,endTime,artistName,trackName,msPlayed,uniqueID,inLibrary,album,track_uri
8433,2021-01-05 05:53,ASH ISLAND,Paranoid,7430,ASH ISLAND:Paranoid,0,,
8434,2021-01-05 05:57,pH-1,Homebody,3436,pH-1:Homebody,0,,
8435,2021-01-05 05:57,Sik-K,iffy (Prod. GroovyRoom),256812,Sik-K:iffy (Prod. GroovyRoom),0,,
8436,2021-01-05 05:57,lIlBOI,Tomorrow,3343,lIlBOI:Tomorrow,0,,
8437,2021-01-05 06:01,Jay Park,Dank,142013,Jay Park:Dank,0,,
8438,2021-01-05 07:07,HAON,NOAH,0,HAON:NOAH,0,,
8439,2021-01-05 07:07,Jay Park,Dank,789,Jay Park:Dank,0,,
8440,2021-01-05 07:11,HAON,NOAH,224570,HAON:NOAH,0,,
8441,2021-01-05 07:15,Loco,Too Much (Feat. DEAN),14167,Loco:Too Much (Feat. DEAN),0,,
8442,2021-01-05 07:15,KillaGramz,Where U At,216225,KillaGramz:Where U At,0,,
8443,2021-01-05 07:18,Sik-K,Rendezvous,175542,Sik-K:Rendezvous,0,,
8444,2021-01-05 11:59,Sik-K,Rendezvous,185893,Sik-K:Rendezvous,0,,
8445,2021-01-05 12:02,Jay Park,All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],216786,Jay Park:All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],0,,
8446,2021-01-05 12:04,CHANGMO,BAND,118978,CHANGMO:BAND,0,,
8447,2021-01-05 12:08,Jay Park,Drive (feat. Gray),4179,Jay Park:Drive (feat. Gray),0,,
8448,2021-01-05 12:08,Jay Park,Yacht (K) [feat. Sik-K],5387,Jay Park:Yacht (K) [feat. Sik-K],0,,
8449,2021-01-05 12:08,GRAY,Just Do It,4922,GRAY:Just Do It,0,,
8450,2021-01-05 12:08,Jay Park,My Last (feat. 로꼬 Loco & Gray),224769,Jay Park:My Last (feat. 로꼬 Loco & Gray),0,,
8451,2021-01-05 12:08,DPR LIVE,Martini Blue,4458,DPR LIVE:Martini Blue,0,,
8452,2021-01-05 12:14,Mirani,VVS,335253,Mirani:VVS,0,,
8453,2021-01-05 12:18,Loco,Thinking about you (feat. JAY PARK),3250,Loco:Thinking about you (feat. JAY PARK),0,,
8454,2021-01-05 12:18,Jay Park,Me Like Yuh (feat. Hoody) [Korean Version],217856,Jay Park:Me Like Yuh (feat. Hoody) [Korean Version],0,,
8455,2021-01-05 12:21,Loco,Late Night,191675,Loco:Late Night,0,,
8456,2021-01-05 12:21,Loco,POST IT,4636,Loco:POST IT,0,,
8457,2021-01-05 12:22,Jay Park,Solo (feat. Hoody),2972,Jay Park:Solo (feat. Hoody),0,,
8458,2021-01-05 12:22,Mirani,Achoo,90650,Mirani:Achoo,0,,
8459,2021-01-05 12:23,GSoul,bad habit,5108,GSoul:bad habit,0,,
8460,2021-01-05 12:26,DPR LIVE,To Myself,213446,DPR LIVE:To Myself,0,,
8461,2021-01-05 12:29,MINO,Okay Dokey,203733,MINO:Okay Dokey,0,,
8462,2021-01-05 13:36,TWICE,I CAN'T STOP ME,125596,TWICE:I CAN'T STOP ME,0,,
8463,2021-01-05 13:40,IU,Palette (feat. G-DRAGON),217412,IU:Palette (feat. G-DRAGON),0,,
8464,2021-01-05 13:43,Loco,It's been a while (feat. Zion.T),21083,Loco:It's been a while (feat. Zion.T),0,,
8465,2021-01-05 13:43,GIRIBOY,교통정리,2879,GIRIBOY:교통정리,0,,
8466,2021-01-05 13:43,Jooyoung,Wet (feat.Superbee),3622,Jooyoung:Wet (feat.Superbee),0,,
8467,2021-01-05 13:43,HEIZE,We don’t talk together,5331,HEIZE:We don’t talk together,0,,
8468,2021-01-05 13:43,Crush,Cereal,3622,Crush:Cereal,0,,
8469,2021-01-05 13:43,Raiden,Yours,4272,Raiden:Yours,0,,
8470,2021-01-05 13:43,IU,dlwlrma,2693,IU:dlwlrma,0,,
8471,2021-01-05 13:43,OVAN,I Need You,5572,OVAN:I Need You,0,,
8472,2021-01-05 13:43,Zion.T,No Make Up,3065,Zion.T:No Make Up,0,,
8473,2021-01-05 13:43,Jamie,Numbers (feat. CHANGMO),176400,Jamie:Numbers (feat. CHANGMO),0,,
8474,2021-01-05 13:44,SOLE,RIDE (feat. THAMA),3157,SOLE:RIDE (feat. THAMA),0,,
8475,2021-01-05 13:44,Yerin Baek,Bye bye my blue,1207,Yerin Baek:Bye bye my blue,0,,
8476,2021-01-05 13:44,Yerin Baek,Bye bye my blue,3065,Yerin Baek:Bye bye my blue,0,,
8477,2021-01-05 13:44,ZICO,Human,2600,ZICO:Human,0,,
8478,2021-01-05 13:44,Jamie,Apollo 11 (feat. Jay Park),5572,Jamie:Apollo 11 (feat. Jay Park),0,,
8479,2021-01-05 13:48,ZICO,Human,237520,ZICO:Human,0,,
